files,sents
ADC 精度 数字 预失 真的 影响 分析 验证,射频 功率放大器 无线通信 必不可少 器件 能够 输入信号 功率 进行 放大 非线性 器件 信号 进行 放大 会 造成 输出信号 非线性失真 ； 简单 功放 进行 功率 回退 信号 进行 线性放大 却 会 降低 功放 效率 . 当今 无线通信 技术 高速发展 大 环境 下 新型 通信技术 射频 功率放大器 特性 指标 要求 更为 严格 实际 工程 减少 射频 功放 非线性失真 至关重要 . 得到 高效率 高 线性度 功率放大器 实际 工程 可以使用 线性化 技术 满足 这种 要求 . 现有 线性化 技术 数字 预 失真 技术 以其 易 实现 高效率 低成本 优点 广 受欢迎 . 数字 预 失真 链路 模数转换器 ( AnalogtoDigitalConverter ADC ) 反馈 链路 完成 信号 模数转换 重要 器件 ADC 精度 却 很 容易 受到 噪声 因素 影响 . 噪声 大 时 ADC 精度 高 都 无法 保证 反馈 链路 信号 准确度 无疑 会 影响 整个 链路 功放 非线性失真 改善 效果 . 本文 探究 数字 预 失真 ADC 精度 之间 关系 给出 一种 精度高 实现 成本低 抑制 非线性 能力 强 数字 预 失真 实现 方法 . 本文 主要 工作 包括 如下 方面 内容 第一 已有 预 失真 方案 进行 分析 研究 功放 主要特性 数字 预 失真 关键技术 . 本文 不同 行为模型 学习 结构 自适应 模型辨识 算法 进行 对比 分析 确定 选用 记忆 多项式模型 间接 学习 结构 最小二乘法 . 第二 解决 噪声 限制 ADC 精度 导致 预 失真 效果 减弱 问题 时 本文 传统 预 失真 方案 增添 信号 分解 模块 高精度 数据 分解 两个 低 精度 数据 再 进行 DA AD 转换 后续 预 失真 处理 . 仿真 结果显示 方案 预 失真 处理 后 邻道 杂散 信号 抑制 效果 改善 约 10 dB . 第三 验证 本文 提出 方案 实际效果 搭建 硬件电路 验证 方案 . 测试 可知 方案 预 失真 处理 后 数据 归一化 均方误差 改善 约 8 dB . 
Android 政务 移动办公 系统 设计 实现,近年来 我国 网络技术 移动终端 发展 十分迅速 移动 OA 成为 自动化 办公 系统开发 发展 热点 特别 伴随 3G 无线网络 技术 发展 基于 Android系统 智能手机 终端 越来越 受欢迎 无疑 移动办公 提供 良好 基础 支撑 . 移动 OA 指 政府 企业 工作人员 离开 固定 工作 环境 工作 载体 后 不 受 位置 环境 限制 依然 对企业 工作 任务 进行 有效 管理 传统 办公自动化 相比 移动 OA系统 具有 显著 优势 随时随地 实现 对企业 管理 协同 . 智能手机 普遍 使用 特别 安卓手机 普及 移动终端 愈加 智能化 人性化 利用 智能终端 3G 4G 无线传输 终端 GPS定位 技术 政务 办公 移动 化 更 实现 位置 监督 管理 基于 本文 充分 研究 分析 Android平台 架构 开发模式 上 依托 燃气公司 日常 办公 巡检 任务 软件工程 思想 提出 一套 符合 燃气 巡检 移动办公 巡检 系统设计 总体方案 最后 面向对象 方法 予以 具体 实现 . 基于 Android平台 实现 移动办公 巡检 系统 一段时间 实际 应用 能够 很好 达到 预期 效果 提高 巡检 人员 工作效率 决策层 测数据 支撑 准确度 相关 基于 位置服务 政务 移动办公 系统 提供 参考 . 
B2C 汇丰 小型 购物 商城 设计 实现,生活节奏 加快 越来越 人 喜欢 网上 购物 . 企业 发现 网上 购物 商城 巨大 利益 迫使 顺应时代 发展 开发 一个 网站 平台 满足 人们 足不出户 购物 需要 ； 企业 足不出户 闻名于世 要求 . 电子商务 网站 网络 上 建立 一个 虚拟 购物 商场 顾客 只 需 需要 查找 想 购买 商品 放到 购物车 中后 提交 订单 就可以 . 避免 顾客 挑选 商品 繁琐 过程 使 顾客 购物 过程 变得 轻松 快捷 方便 很 适合 现代人 快节奏 生活 方式 . B2C 小型 购物 商城 设计 实现 网络平台 达到 商品 展示 商品 销售 网站 商品 发布 主体 购物者 选择 心仪 产品 背景 网络系统 . B2C 小型 购物 商城 出现 推进 电子商务 发展 也具有 不可估量 意义 . B2C 小型 购物 商城 设计 实现 采用 MicrosoftVisualStudio2005 开发平台 利用 MicrosoftSQLServe r2 005 后台 数据 运行 强大 支撑 . 本文 主要是从 可行性分析 需求分析 总体设计 详细设计 代码编写 软件测试 介绍 网站 形成 过程 . 系统 主要 业务 需要 用户需求 分析 分为 前台 功能模块 后台管理 模块 两 大 模块 . 网站前台 主要 用户 提供 商品 查看 商品 浏览 购买 商品 功能 . 包含 会员 注册 登录 模块 购物车 模块 订单 查看 模块 会员卡 充值 模块 商品 显示 模块 留言 模块 网上 帮助 模块 . 网站后台 主要 管理员 实现 管理 功能 . 包含 管理员 管理 模块 会员 管理 模块 商品 管理 模块 物流 管理 模块 订单 管理 模块 留言 管理 模块 . 现在 系统 已经 正常 使用 实践 小型 购物 商城 系统 能够 满足 商品 批发 型 企业 一些 零售 经销商 需求 实现 系统 基本功能 具有 一定 参考 意义 实用价值 . 
B2C 电子商务系统 设计 实现,信息技术 极速 发展 驱动 全球 电子商务 贸易 急速 攀升 . 网上交易 一种 模式 B2C 展现 强大 应用 功能 目前 广泛应用 电子商务 模式 商业 公司 互联网 用户 开展 一种 主要 销售 方式 . B2C 模式 下 商业 公司 互联网 用户 开展 电子商务 交易 主要 在线 零售 形式 进行 . 近几年 垂直 细分 类型 B2C 网站 不断 出现 电子商务 领域 不断 带来 新 活力 . B2C 网站 形式各异 系统框架 类似 . 新 出现 B2C 网站 带来 重复 开发 工作 整个 社会 来说 一种 资源 浪费 . 本文 致力于 总结 提炼 典型 B2C 网站 最 关键 结构 后续 开发 B2C 网站 总结经验 . 本文 借助 ASP .NET框架 总结 出 关键 部分 进行 实现 . 数据库 采用 SQLServe r2 005 . B2C 电子商务 购物系统 结构 紧紧围绕 商家 消费者 需要 进行 运作 流程 涵盖 商家 产品 展示 推介 库存 物流 售后服务 环节 消费者 产品 搜索 下单 支付 售后 评价 过程 . 三层架构 主流 系统架构 方法 一种 主要 思想 整个 业务 应用 划分 三个 层次 包括 表现层 业务逻辑 层 数据访问层 . 三层架构 提出 满足 软件设计 过程 需要 遵循 高内聚 低耦合 思想 . 本文 系统 实现 一章 完成 系统 三层架构 构建 . 软件 测试 开发过程 不可或缺 一部分 . 软件开发过程 软件测试 越早 越好 . 软件测试 需求 确定过程 一个 部分 . 本文 最后 B2C 系统 测试 工作 进行 详细 说明 包括 功能性 测试 功能模块 测试 性能测试 . 
BP神经网络 股票投资 分析 应用,股票 金融市场 晴雨表 出现 以来 受到 投资者 关注 . 股票市场 高 风险性 高收益 性 多变性 特点 股票 分析 预测 伴随 成为 投资者 关注 焦点 . 股市 受 政治 经济 投资者心理 一些 内在 因素 影响 复杂性 决定 股票分析 复杂性 不确定性 . 目前 预测 领域 提出 很多 方法 改进 技术 提高 股票 预测 精度 . 方法 传统 预测 方法 基础 上 引进 人工智能 算法 新技术 加以改进 . 人们 人工智能 算法 广泛 使用 股票市场 人工智能 算法 应用 渐渐 流行起来 . 神经网络 人工智能 算法 不免 股市分析 备受 青睐 . 神经网络 理论上 逼近 任意 非线性 函数 很强 鲁棒性 容错 能力 . 恰好 适用于 股票 数据 分析 . 本文 详细 探讨 BP神经网络 基本 理论 结构 学习 规则 构建 过程 用于 短期 股票分析 预测 BP 模型 建立 过程 进行 详细 阐述 目的 在于 建立 模型 用来 预测 股票 涨幅 . 模型 使用 过程 结合 多项 技术指标 节点 输入 . 隐含 层 函数 设计 采用 两个 隐含 层 函数 . 隐含 层 神经元 个数 选择 过程 采用 包含 2 1 在内 5 个值 （ 30 35 41 45 50 输入 节点 个数 ） 神经元 个数 训练 网络 . 前人 做 大量 股票分析 预测 工作 基础 上 本文 控制 隐含 层 神经元 个数 训练 网络 针对 建立 BP 模型 万科 五粮液 浦发银行 宝钢股份 中国石化 上海 家化 贵州茅台 中储 股份 伊利 股份 中国人寿 10 支 股票 2013 年 7 月 15 日 7 月 26 日 （ 交易 工作日内 ） 涨幅 进行 预测 . 预测 结果显示 隐含 层 神经元 个数 不同 预测 精度 不同 . 总体而言 神经元 个数 35 41 时 预测 最佳 . 
CDMA 网络 短消息 分组 数据业务 设计 实现,当今社会 无线通信 技术 移动通信 已经 贯穿 每个 人 生活 无线 监控系统 单位 社区 生活 应用 很 普及 . CDMA 网络 本身 固有 特点 安全性 稳定性 较为 突出 无线通信 领域 人们 研究 越来越 深入 应用 越来越 广泛 . 单片机 构成 控制 终端 上位机 串行接口 组成 智能 控制系统 已经 全面 渗透 包括 工业控制 家用电器 智能化 气象 信息 监测 控制 环境 数据 监控 领域 在内 层面 所有 应用 基本 都 取用 有线 传输方式 利用 RS 232 串行接口 RS 485 串行接口 实现 数据 通讯 传输 使用 modem 进行 数据传输 方式 实现 功能 节省 以上 基于 有线 方式 不能 充分发挥 CDMA 技术 优势 . CDMA 远程监控 系统 利用 现在 比较 成熟 CDMA 技术 资源 发挥 网络 覆盖面广 传输特性 好 速度快 优势 远程 智能控制 终端 提供 一种 方便快捷 无线 数据传输 模式 必定 成为 工业 上 控制 应用 现场 勘探 监测 领域 发展趋势 水利 电力 石油 煤矿 监控 行业 进行 广泛 应用 . 论文 内容 包括 监控 终端 硬 软件 开发 设计 . 本文 CDMA 远程监控 系统 功能 进行 介绍 . 系统 包含 硬件 软件 两个 平台 . 硬件 系统 设计 包含 电路设计 ； 软件设计 包含 监控 管理软件 设计 . 硬件 系统 主要 包含 实现 功能 单片机 相关 模块 软件系统 采用 VisualBasic 编写 实现 单片机 数据模块 之间 数据传递 数据管理 . 本文 详细描述 软硬件 系统 设计 原理 设计 过程 此基础 下 完成 监控程序 初始化 数据 处理 传输 功能 . 
C语言 安全 编译器 研究,计算机 应用 越来越 广泛 互联网 不断扩大 信息安全 越来越 重要 . 互联网 众多 系统 面临 越来越 安全 挑战 大 挑战 源于 缓冲 溢出 攻击 此类 攻击 主要 形式 堆栈 溢出 攻击 . 缓冲 溢出 攻击 原因在于 C C++程序 缺乏 相应 安全机制 程序 漏洞 . 堆栈 溢出 缓冲 溢出 相对 出现 堆栈 溢出 攻击程序 比较 容易 实现 尤其 需要 重点关注 . 堆栈 溢出 利用 程序 边界条件 检查 不 严谨 修改 堆栈 上 局部变量 过程 完成 注入 攻击 代码 更改 程序运行 流程 任务 . 缓冲 溢出 攻击 可能 得到 远程访问 系统 管理员权限 众多 攻击方式 尤为 危险 . 目前 已有 众多 方法 用来 防御 堆栈 溢出 攻击 大致 程序 编译 角度 操作系统 内核 cpu 体系结构 方面 着手 . 影响 较大 Stackguard 堆栈 放置 Canary 检测 堆栈 是否 溢出 ； stackshield 保存 堆栈 返回地址 保证 程序流程 正确 ； libsafe 提供 安全 库 替换 标准 不 安全 库 ； soloaris linux使用 不可 执行 堆栈 ； . 方式 方法 后续 研究 开拓 思路 . 方案 试图 编译 角度 着手 使用 开源软件 GCC 试验 起点 . 简要 介绍 GCC 前端 内容 . GCC 前端 目的 源代码 生成 AST 语法分析 树 再 AST 树 生成 RTL 中间 表示 . 后 RTL 中间 表示 交给 GCC 后端 进一步 处理 . 后 本文 的终 目的 提出 两种 分离 数据 控制 堆栈 程序运行 时 环境 . 进一步 分析 这种 结构 安全性 兼容性 问题 . 后 简要 说明 GCC 修改 实现 分离 堆栈 程序运行 时 环境 . 
DB A算法 研究 经济型 GPON 系统 应用,网络技术 快速 发展 光纤 成本 急剧下降 传统 低 带宽 铜缆 接入 方式 正在 宽带 化 高速化 光纤到户 （ FTTH ） 取代 无源光网络 （ PON ） 低廉 成本 简单 结构 良好 性能 认为 实现 FTTH 最佳 技术 . 吉 比特 无源光网络 （ GPON ） 一种 支持 以太 业务 支持 TDM 业务 下一代 业务 接入网 技术 高带宽 利用率 高速率 高效率 全 业务 服务质量 （ QoS ） 保证 成为 目前 最 受 运营商 青睐 接入 方案 . 动态 带宽 分配 （ DBA ） GPON 最为 关键 技术 GPON 成功 有着 决定性 影响 研究 出 一套 简单 实用 DB A算法 显得 意义重大 . 本文 分析 研究 背景 意义 介绍 国内外 研究 现状 动态 ； 讨论 GPON 系统结构 工作原理 关键技术 分析 分层 协议 帧 结构 GPON 独有 GEM 封装 模式 ； 阐述 传输 容器 （ T CONT ） 业务种类 带宽 类型 关系 介绍 三种 动态 带宽 报告 机制 解释 DBA 工作原理 . 阐述 经济型 GPON 系统需求 主要 特点 软件架构 介绍 模块 划分 核心 模块 设计 详细描述 DBA 模块 设计 . 本文 分析 现有 几种 DB A算法 比较 优缺点 结合 经济型 GPON 现状 提出 一种 简单 可行 DB A算法 不同 类型 T CONT 分为 几种 模板 在一个 周期 内 模板 分配 带宽 . 算法 详细 考虑 不同 业务 带宽 需求 周期 选择 测距 开窗 过程 业务 影响 给出 测距 打断 TDM 业务 带宽 补偿 方式 使 简单 高效 满足 GPON 系列 建议 带宽 分配 颗粒 度 要求 做到 业务 公平性 QoS 带宽 利用率 平衡 . 最后 给出 实现 思想 过程 经济型 GPON 系统 上 实现 . 
ERP 手工 沙盘 教学 辅助 软件 设计 实现,ERP 手工 沙盘 一种 新型 体验 为主 教学方式 完全 不同于 传统 教学 提倡 理论 实践 一体化 理论知识 融合 实践 操作过程 . 提供 一种 方式 学生 角色扮演 参与 整个过程 亲身 体验 巩固 理论知识 转换成 技能 . 这种 教学方式 强化 学生 理论知识 训练 学生 专业技能 提高 学生 综合 素质 都 极 好处 . 本文 详细 调研 高效 模拟 沙盘 实训 课程 需求 基础 上 需求分析 得到 该软件 应该 具备 具体 功能 业务逻辑 软件工程思想 展开 数据库设计 程序开发 系统测试 流程 . 本文 主要 内容 业务 功能 技术 实现 两个 方面 阐述 业务 功能 囊括 手工 沙盘 整个 流程 包括 贷款 购买 原材料 开发 产品 购置 厂房 新建 生产线 投放 广告 选取 订单 订单 交货 一系列 环节 . 系统 角色 分成 系统管理员 学生 学生 三种 不同 角色 不同 业务 实现 功能 权限 分别 设计 前台 界面 操作 简洁 易懂 用户 体验 良好 . 技术 实现 系统 采取 B S 体系 架构 J2EE框架 基础 上 基于 M VC编程 模式 实现 软件开发 . 保证系统 正确性 可靠性 稳定性 系统 功能性 测试 浏览器兼容性 测试 两个 方面 进行 全面 测试 . 
ERP 财务 信息管理系统 设计 开发,信息技术 快速 发展 许多 企业 希望 信息化建设 提高 企业管理 经营 水平 增强 行业 竞争力 . 目前 ERP系统 实施 运用 企业 提高 竞争力 重要 方式 期望 ERP系统 实现 信息流 资金流 物流 统一 获取 最大 经济效益 使 企业 能够 现有 资源 进行 有效 调配 . 财务管理 模块 ERP系统 核心 部分 需要 实时 采集 企业 信息 ERP系统 采购 模块 生产 模块 库存 模块 销售 模块 进行 信息 集成 实现 企业 经营活动 事前 预算 事 控制 进行 有效 管理 . ERP 财务 系统 设计 需要 业务流程 进行 实施 优化 优化 企业财务 流程 确保 系统 有效性 . 本文 研究 EPR 财务 管理系统 采用 软件工程 设计思想 系统架构设计 采用 J2EE 三层架构 采用 架构 能够 使 系统 具有 较好 扩展性 跨平台 特点 能够 使 表示层 业务逻辑 层 数据 层 互相 分离 用户 提供 完整 及时 准确 财务 信息 降低 财务 工作 劳动强度 有效 提高 财务部门 工作效率 满足 了德邦 物流 有限公司 财务管理 工作 需要 . 本文 对系统 相关 技术 业务流程 优化理论 研究 德邦 物流 有限公司 主要 财务 业务流程 特点 ERP系统 财务 管理系统 构建 方案 进行 研究 . 论文 采用 用例图 方式 进行 详细 系统需求 分析 需求分析 提出 财务 管理系统 总体 架构 对系统 模块 设计方案 进行 阐述 ； 论文 对系统 实现 方法 进行 研究 对系统 表示层 业务逻辑 层 系统 主要 功能模块 实现 方法 进行 讨论 ； 最后 论文 构建 财务 管理系统 进行 系统测试 验证 设计方案 可行性 和可靠性 . 
